Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P49184	DNSL1_HUMAN	reviewed	Deoxyribonuclease-1-like 1 (EC 3.1.21.-) (DNase X) (Deoxyribonuclease I-like 1) (DNase I-like 1) (Muscle-specific DNase I-like) (XIB)	DNASE1L1 DNAS1L1 DNL1L	Homo sapiens (Human)	302
Q92874	DNSL2_HUMAN	reviewed	Deoxyribonuclease-1-like 2 (EC 3.1.21.-) (DNase I homolog protein DHP1) (Deoxyribonuclease I-like 2) (DNase I-like 2)	DNASE1L2 DHP1 DNAS1L2	Homo sapiens (Human)	299
Q13609	DNSL3_HUMAN	reviewed	Deoxyribonuclease gamma (DNase gamma) (EC 3.1.21.-) (DNase I homolog protein DHP2) (Deoxyribonuclease I-like 3) (DNase I-like 3) (Liver and spleen DNase) (LS-DNase) (LSD)	DNASE1L3 DHP2 DNAS1L3	Homo sapiens (Human)	305
P09417	DHPR_HUMAN	reviewed	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)	QDPR DHPR SDR33C1	Homo sapiens (Human)	244
P52429	DGKE_HUMAN	reviewed	Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)	DGKE DAGK5	Homo sapiens (Human)	567
P37059	DHB2_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239)	HSD17B2 EDH17B2 SDR9C2	Homo sapiens (Human)	387
Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348
Q15125	EBP_HUMAN	reviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	Homo sapiens (Human)	230
Q92947	GCDH_HUMAN	reviewed	Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)	GCDH	Homo sapiens (Human)	438
Q86YB7	ECHD2_HUMAN	reviewed	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial	ECHDC2	Homo sapiens (Human)	292
P30084	ECHM_HUMAN	reviewed	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)	ECHS1	Homo sapiens (Human)	290
Q08426	ECHP_HUMAN	reviewed	Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	EHHADH ECHD	Homo sapiens (Human)	723
P30793	GCH1_HUMAN	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250
O95395	GCNT3_HUMAN	reviewed	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)	GCNT3	Homo sapiens (Human)	438
Q9H3P7	GCP60_HUMAN	reviewed	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	ACBD3 GCP60 GOCAP1 GOLPH1	Homo sapiens (Human)	528
Q92506	DHB8_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 8 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Protein Ke6) (Ke-6) (Really interesting new gene 2 protein) (Short chain dehydrogenase/reductase family 30C member 1) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239)	HSD17B8 FABGL HKE6 RING2 SDR30C1	Homo sapiens (Human)	261
Q5KSL6	DGKK_HUMAN	reviewed	Diacylglycerol kinase kappa (DAG kinase kappa) (EC 2.7.1.107) (142 kDa diacylglycerol kinase) (Diglyceride kinase kappa) (DGK-kappa)	DGKK	Homo sapiens (Human)	1271
Q9BPX1	DHB14_HUMAN	reviewed	17-beta-hydroxysteroid dehydrogenase 14 (17-beta-HSD 14) (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase DHRS10) (Dehydrogenase/reductase SDR family member 10) (Retinal short-chain dehydrogenase/reductase retSDR3) (Short chain dehydrogenase/reductase family 47C member 1)	HSD17B14 DHRS10 SDR3 SDR47C1 UNQ502/PRO474	Homo sapiens (Human)	270
Q13268	DHRS2_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 2, mitochondrial (EC 1.1.1.-) (Dicarbonyl reductase HEP27) (Protein D) (Short chain dehydrogenase/reductase family 25C member 1)	DHRS2 SDR25C1	Homo sapiens (Human)	280
O60869	EDF1_HUMAN	reviewed	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	EDF1	Homo sapiens (Human)	148
P05305	EDN1_HUMAN	reviewed	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	EDN1	Homo sapiens (Human)	212
Q9P109	GCNT4_HUMAN	reviewed	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 (EC 2.4.1.102) (Core 2-branching enzyme 3) (Core2-GlcNAc-transferase 3) (C2GnT3)	GCNT4	Homo sapiens (Human)	453
Q9NZC3	GDE1_HUMAN	reviewed	Glycerophosphodiester phosphodiesterase 1 (EC 3.1.4.-) (EC 3.1.4.44) (Membrane-interacting protein of RGS16) (RGS16-interacting membrane protein)	GDE1 MIR16	Homo sapiens (Human)	331
Q6UWR7	ENPP6_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 (E-NPP 6) (NPP-6) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Glycerophosphocholine cholinephosphodiesterase) (GPC-Cpde)	ENPP6 UNQ1889/PRO4334	Homo sapiens (Human)	440
Q14534	ERG1_HUMAN	reviewed	Squalene monooxygenase (EC 1.14.14.17) (Squalene epoxidase) (SE)	SQLE ERG1	Homo sapiens (Human)	574
O76062	ERG24_HUMAN	reviewed	Delta(14)-sterol reductase (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase) (C14SR) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)	TM7SF2 ANG1	Homo sapiens (Human)	418
P48449	ERG7_HUMAN	reviewed	Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC) (hOSC)	LSS OSC	Homo sapiens (Human)	732
Q9NZI5	GRHL1_HUMAN	reviewed	Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)	GRHL1 LBP32 MGR TFCP2L2	Homo sapiens (Human)	618
Q13822	ENPP2_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	ENPP2 ATX PDNP2	Homo sapiens (Human)	863
Q9UKR5	ERG28_HUMAN	reviewed	Probable ergosterol biosynthetic protein 28	ERG28 C14orf1 AD-011 HSPC288 x0006	Homo sapiens (Human)	140
P84090	ERH_HUMAN	reviewed	Enhancer of rudimentary homolog	ERH	Homo sapiens (Human)	104
O75460	ERN1_HUMAN	reviewed	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	Homo sapiens (Human)	977
O94905	ERLN2_HUMAN	reviewed	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)	ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924	Homo sapiens (Human)	339
Q96HE7	ERO1A_HUMAN	reviewed	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	ERO1A ERO1L UNQ434/PRO865	Homo sapiens (Human)	468
Q9BS26	ERP44_HUMAN	reviewed	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075	Homo sapiens (Human)	406
P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
Q9UBQ7	GRHPR_HUMAN	reviewed	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	GRHPR GLXR MSTP035	Homo sapiens (Human)	328
Q6UWW8	EST3_HUMAN	reviewed	Carboxylesterase 3 (EC 3.1.1.1) (Liver carboxylesterase 31 homolog)	CES3 UNQ869/PRO1887	Homo sapiens (Human)	571
Q99814	EPAS1_HUMAN	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870
P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
P48507	GSH0_HUMAN	reviewed	Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)	GCLM GLCLR	Homo sapiens (Human)	274
P48506	GSH1_HUMAN	reviewed	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	GCLC GLCL GLCLC	Homo sapiens (Human)	637
P48637	GSHB_HUMAN	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSS	Homo sapiens (Human)	474
P00390	GSHR_HUMAN	reviewed	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)	522
P16118	F261_HUMAN	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB1 F6PK PFRX	Homo sapiens (Human)	471
P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
O60825	F262_HUMAN	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB2	Homo sapiens (Human)	505
Q7L5A8	FA2H_HUMAN	reviewed	Fatty acid 2-hydroxylase (EC 1.14.18.-) (Fatty acid alpha-hydroxylase)	FA2H FAAH	Homo sapiens (Human)	372
Q71RH2	FA57B_HUMAN	reviewed	Protein FAM57B	FAM57B FP1188	Homo sapiens (Human)	274
Q4G0M1	ERFE_HUMAN	reviewed	Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin)	ERFE C1QTNF15 CTRP15 FAM132B	Homo sapiens (Human)	354
O75477	ERLN1_HUMAN	reviewed	Erlin-1 (Endoplasmic reticulum lipid raft-associated protein 1) (Protein KE04) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1) (SPFH domain-containing protein 1)	ERLIN1 C10orf69 KE04 KEO4 SPFH1	Homo sapiens (Human)	346
Q86YB8	ERO1B_HUMAN	reviewed	ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta)	ERO1B ERO1LB	Homo sapiens (Human)	467
O15354	GPR37_HUMAN	reviewed	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)	613
P23141	EST1_HUMAN	reviewed	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1	Homo sapiens (Human)	567
O00748	EST2_HUMAN	reviewed	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE	Homo sapiens (Human)	559
O95571	ETHE1_HUMAN	reviewed	Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)	ETHE1 HSCO	Homo sapiens (Human)	254
Q9H8M9	EVA1A_HUMAN	reviewed	Protein eva-1 homolog A (Protein FAM176A) (Transmembrane protein 166)	EVA1A FAM176A TMEM166 SP24	Homo sapiens (Human)	152
P29803	ODPAT_HUMAN	reviewed	Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial (EC 1.2.4.1) (PDHE1-A type II)	PDHA2 PDHAL	Homo sapiens (Human)	388
Q6GTS8	P20D1_HUMAN	reviewed	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.-) (EC 4.3.-.-) (Peptidase M20 domain-containing protein 1)	PM20D1	Homo sapiens (Human)	502
P49810	PSN2_HUMAN	reviewed	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2	Homo sapiens (Human)	448
Q99572	P2RX7_HUMAN	reviewed	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2RX7	Homo sapiens (Human)	595
P11686	PSPC_HUMAN	reviewed	Pulmonary surfactant-associated protein C (SP-C) (Pulmonary surfactant-associated proteolipid SPL(Val)) (SP5)	SFTPC SFTP2	Homo sapiens (Human)	197
Q8IVL6	P3H3_HUMAN	reviewed	Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B)	P3H3 LEPREL2	Homo sapiens (Human)	736
Q5MIZ7	P4R3B_HUMAN	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)	PPP4R3B KIAA1387 PP4R3B SMEK2	Homo sapiens (Human)	849
P68402	PA1B2_HUMAN	reviewed	Platelet-activating factor acetylhydrolase IB subunit beta (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229
Q15102	PA1B3_HUMAN	reviewed	Platelet-activating factor acetylhydrolase IB subunit gamma (EC 3.1.1.47) (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma)	PAFAH1B3 PAFAHG	Homo sapiens (Human)	231
P53816	PA216_HUMAN	reviewed	HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	PLA2G16 HRASLS3 HREV107	Homo sapiens (Human)	162
P04054	PA21B_HUMAN	reviewed	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)	PLA2G1B PLA2 PLA2A PPLA2	Homo sapiens (Human)	148
P47712	PA24A_HUMAN	reviewed	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)	749
Q9UP65	PA24C_HUMAN	reviewed	Cytosolic phospholipase A2 gamma (cPLA2-gamma) (EC 3.1.1.4) (Phospholipase A2 group IVC)	PLA2G4C	Homo sapiens (Human)	541
Q86XP0	PA24D_HUMAN	reviewed	Cytosolic phospholipase A2 delta (cPLA2-delta) (EC 3.1.1.4) (Phospholipase A2 group IVD)	PLA2G4D	Homo sapiens (Human)	818
Q3MJ16	PA24E_HUMAN	reviewed	Cytosolic phospholipase A2 epsilon (cPLA2-epsilon) (EC 3.1.1.4) (Phospholipase A2 group IVE)	PLA2G4E	Homo sapiens (Human)	868
Q9NZK7	PA2GE_HUMAN	reviewed	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	PLA2G2E	Homo sapiens (Human)	142
Q99487	PAFA2_HUMAN	reviewed	Platelet-activating factor acetylhydrolase 2, cytoplasmic (EC 3.1.1.47) (Serine-dependent phospholipase A2) (SD-PLA2) (hSD-PLA2)	PAFAH2	Homo sapiens (Human)	392
Q8NCC3	PAG15_HUMAN	reviewed	Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)	PLA2G15 LYPLA3 UNQ341/PRO540	Homo sapiens (Human)	412
O14832	PAHX_HUMAN	reviewed	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	PHYH PAHX	Homo sapiens (Human)	338
Q9BQ69	MACD1_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.5.1.-) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)	MACROD1 LRP16	Homo sapiens (Human)	325
P39210	MPV17_HUMAN	reviewed	Protein Mpv17	MPV17	Homo sapiens (Human)	176
Q96G30	MRAP2_HUMAN	reviewed	Melanocortin-2 receptor accessory protein 2 (MC2R accessory protein 2)	MRAP2 C6orf117	Homo sapiens (Human)	205
Q13421	MSLN_HUMAN	reviewed	Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor (MPF); Mesothelin, cleaved form]	MSLN MPF	Homo sapiens (Human)	630
O60502	OGA_HUMAN	reviewed	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT)	OGA HEXC KIAA0679 MEA5 MGEA5	Homo sapiens (Human)	916
Q9NWU1	OXSM_HUMAN	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase)	OXSM	Homo sapiens (Human)	459
Q8IYS1	P20D2_HUMAN	reviewed	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	PM20D2 ACY1L2	Homo sapiens (Human)	436
P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
Q32P28	P3H1_HUMAN	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	P3H1 GROS1 LEPRE1 PSEC0109	Homo sapiens (Human)	736
Q8IVL5	P3H2_HUMAN	reviewed	Prolyl 3-hydroxylase 2 (EC 1.14.11.7) (Leprecan-like protein 1) (Myxoid liposarcoma-associated protein 4)	P3H2 LEPREL1 MLAT4	Homo sapiens (Human)	708
Q9H361	PABP3_HUMAN	reviewed	Polyadenylate-binding protein 3 (PABP-3) (Poly(A)-binding protein 3) (Testis-specific poly(A)-binding protein)	PABPC3 PABP3 PABPL3	Homo sapiens (Human)	631
P60484	PTEN_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
P52298	NCBP2_HUMAN	reviewed	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)	NCBP2 CBP20 PIG55	Homo sapiens (Human)	156
Q6PIU2	NCEH1_HUMAN	reviewed	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1)	NCEH1 AADACL1 KIAA1363	Homo sapiens (Human)	408
Q13232	NDK3_HUMAN	reviewed	Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)	NME3	Homo sapiens (Human)	169
O00476	NPT4_HUMAN	reviewed	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4	Homo sapiens (Human)	420
Q9NPB1	NT5M_HUMAN	reviewed	5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)	NT5M DNT2	Homo sapiens (Human)	228
Q9NY59	NSMA2_HUMAN	reviewed	Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II)	SMPD3	Homo sapiens (Human)	655
O60906	NSMA_HUMAN	reviewed	Sphingomyelin phosphodiesterase 2 (EC 3.1.4.12) (Lyso-platelet-activating factor-phospholipase C) (Lyso-PAF-PLC) (Neutral sphingomyelinase) (N-SMase) (nSMase)	SMPD2	Homo sapiens (Human)	423
O60260	PRKN_HUMAN	reviewed	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	Homo sapiens (Human)	465
O75569	PRKRA_HUMAN	reviewed	Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)	PRKRA PACT RAX HSD-14 HSD14	Homo sapiens (Human)	313
P01236	PRL_HUMAN	reviewed	Prolactin (PRL)	PRL	Homo sapiens (Human)	227
Q9UKG9	OCTC_HUMAN	reviewed	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)	CROT COT	Homo sapiens (Human)	612
O60313	OPA1_HUMAN	reviewed	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	OPA1 KIAA0567	Homo sapiens (Human)	960
Q9P0S3	ORML1_HUMAN	reviewed	ORM1-like protein 1 (Adoplin-1)	ORMDL1 HSPC202	Homo sapiens (Human)	153
P10451	OSTP_HUMAN	reviewed	Osteopontin (Bone sialoprotein 1) (Nephropontin) (Secreted phosphoprotein 1) (SPP-1) (Urinary stone protein) (Uropontin)	SPP1 BNSP OPN PSEC0156	Homo sapiens (Human)	314
P14920	OXDA_HUMAN	reviewed	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	DAO DAMOX	Homo sapiens (Human)	347
P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
P54886	P5CS_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)	795
